Genre,Tâche
Femme,"
• Vendredi 13h30 – Déjeuner : nettoyage tables  
• Vendredi 18h – Nettoyage sanitaires F
• Samedi 18h – Nettoyage sanitaires F"
Femme,"
• Vendredi 9h15 – Ptit-déj :  vaisselle
• Vendredi 18h – Nettoyage sanitaires F
• Samedi 18h – Nettoyage sanitaires F"
Femme,"
• Vendredi 13h45 – Déjeuner : vaisselle 
• Vendredi 20h30 – Dîner : nettoyage tables 
• Samedi 18h – Nettoyage communs"
Femme,"
• Jeudi 18h – Dîner : cuisine
• Dimanche 11h – Nettoyage communs"
Femme,"
• Vendredi 11h – Déjeuner : cuisine
• Dimanche 11h – Nettoyage sanitaires F"
Femme,"
• Jeudi 18h – Dîner : cuisine
• Dimanche 11h – Nettoyage communs"
Femme,"
• Vendredi 11h – Déjeuner : cuisine
• Dimanche 11h – Nettoyage sanitaires F"
Femme,"
• Vendredi 11h – Déjeuner : cuisine"
Femme,"
• Vendredi 13h45 – Déjeuner : vaisselle 
• Vendredi 20h30 – Dîner : nettoyage tables 
• Samedi 13h45 – Déjeuner : vaisselle 
• Samedi 20h45 – Dîner :  vaisselle"
Femme,"
• Vendredi 13h30 – Déjeuner : nettoyage tables  
• Vendredi 18h – Nettoyage sanitaires F
• Samedi 18h – Nettoyage sanitaires F"
Femme,"
• Vendredi 11h – Déjeuner : cuisine
• Dimanche 11h – Nettoyage sanitaires F"
Femme,"
• Vendredi 9h15 – Ptit-déj :  vaisselle
• Vendredi 18h – Nettoyage sanitaires F
• Samedi 18h – Nettoyage sanitaires F"
Femme,"
• Vendredi 11h – Déjeuner : cuisine
• Dimanche 11h – Nettoyage sanitaires F"
