Genre,Tâche
Homme,"
• Vendredi 9h15 – Ptit-déj :  vaisselle
• Vendredi 18h – Nettoyage sanitaires H
• Samedi 9h15 – Ptit-déj :  vaisselle
• Samedi 13h45 – Déjeuner : vaisselle 
• Samedi 18h – Nettoyage sanitaires H
• Dimanche 9h15 – Ptit-déj :  vaisselle"
Homme,"
• Jeudi 20h30 – Dîner : nettoyage tables 
• Vendredi 13h45 – Déjeuner : vaisselle 
• Vendredi 18h – Dîner : cuisine
• Samedi 20h30 – Dîner : nettoyage tables 
• Dimanche 9h – Ptit-déj : nettoyage tables "
Homme,"
• Jeudi 20h45 – Dîner :  vaisselle
• Vendredi 18h – Ccommuns
• Vendredi 20h45 – Dîner :  vaisselle
• Samedi 11h – Déjeuner : cuisine"
Homme,"
• Jeudi 18h – Dîner : cuisine
• Samedi 9h15 – Ptit-déj :  vaisselle
• Samedi 18h – Nettoyage communs
• Samedi 20h45 – Dîner :  vaisselle
• Dimanche 11h – Nettoyage communs"
Homme,"
• Jeudi 20h30 – Dîner : nettoyage tables 
• Vendredi 13h45 – Déjeuner : vaisselle 
• Vendredi 18h – Dîner : cuisine
• Samedi 20h45 – Dîner :  vaisselle
• Dimanche 9h15 – Ptit-déj :  vaisselle"
Homme,"
• Jeudi 20h45 – Dîner :  vaisselle
• Vendredi 18h – Ccommuns
• Vendredi 20h45 – Dîner :  vaisselle
• Samedi 11h – Déjeuner : cuisine"
Homme,"
• Vendredi 13h30 – Déjeuner : nettoyage tables  
• Vendredi 18h – Dîner : cuisine
• Samedi 20h30 – Dîner : nettoyage tables 
• Samedi 20h45 – Dîner :  vaisselle
• Dimanche 11h – Nettoyage communs"
Homme,"
• Vendredi 9h15 – Ptit-déj :  vaisselle
• Vendredi 18h – Dîner : cuisine
• Samedi 18h – Dîner : cuisine"
Homme,"
• Vendredi 11h – Déjeuner : cuisine
• Samedi 13h45 – Déjeuner : vaisselle 
• Samedi 18h – Dîner : cuisine"
Homme,"
• Vendredi 9h – Ptit-déj : nettoyage tables 
• Vendredi 18h – Ccommuns
• Samedi 9h – Ptit-déj : nettoyage tables 
• Samedi 13h30 – Déjeuner : nettoyage tables  
• Samedi 18h – Nettoyage communs
• Dimanche 9h15 – Ptit-déj :  vaisselle"
Homme,"
• Jeudi 20h30 – Dîner : nettoyage tables 
• Vendredi 13h45 – Déjeuner : vaisselle 
• Vendredi 18h – Dîner : cuisine
• Samedi 20h30 – Dîner : nettoyage tables 
• Dimanche 9h15 – Ptit-déj :  vaisselle"
Homme,"
• Jeudi 18h – Dîner : cuisine
• Samedi 9h15 – Ptit-déj :  vaisselle
• Samedi 18h – Nettoyage communs
• Dimanche 9h – Ptit-déj : nettoyage tables 
• Dimanche 11h – Nettoyage sanitaires H"
Homme,"
• Vendredi 11h – Déjeuner : cuisine
• Samedi 13h45 – Déjeuner : vaisselle 
• Samedi 18h – Dîner : cuisine"
Homme,"
• Vendredi 11h – Déjeuner : cuisine
• Samedi 13h45 – Déjeuner : vaisselle 
• Samedi 18h – Dîner : cuisine"
Homme,"
• Vendredi 9h – Ptit-déj : nettoyage tables 
• Vendredi 18h – Ccommuns
• Samedi 9h – Ptit-déj : nettoyage tables 
• Samedi 13h30 – Déjeuner : nettoyage tables  
• Samedi 18h – Nettoyage sanitaires H
• Dimanche 9h15 – Ptit-déj :  vaisselle"
Homme,"
• Vendredi 11h – Déjeuner : cuisine
• Samedi 13h45 – Déjeuner : vaisselle 
• Samedi 18h – Dîner : cuisine"
Homme,"
• Jeudi 18h – Dîner : cuisine
• Samedi 9h15 – Ptit-déj :  vaisselle
• Samedi 18h – Nettoyage communs
• Samedi 20h45 – Dîner :  vaisselle
• Dimanche 11h – Nettoyage communs"
Homme,"
• Vendredi 9h15 – Ptit-déj :  vaisselle
• Vendredi 18h – Dîner : cuisine
• Samedi 18h – Dîner : cuisine"
Homme,"
• Jeudi 20h45 – Dîner :  vaisselle
• Vendredi 18h – Ccommuns
• Vendredi 20h45 – Dîner :  vaisselle
• Samedi 11h – Déjeuner : cuisine"
Homme,"
• Jeudi 18h – Dîner : cuisine
• Samedi 11h – Déjeuner : cuisine
• Dimanche 11h – Nettoyage sanitaires H"
